id,account_id,metric_type,score,text,timestamp
fb-river-systems-01,river-systems,verbatim,,Utilization is low relative to plan tier,2026-07-18T02:52:23.620108+00:00
fb-river-systems-02,river-systems,nps,4.0,,2026-07-16T02:52:23.620108+00:00
fb-south-labs-01,south-labs,csat,7.0,,2026-07-14T02:52:23.620108+00:00
fb-east-labs-01,east-labs,csat,6.0,,2026-07-11T02:52:23.620108+00:00
fb-cedar-works-01,cedar-works,verbatim,,Utilization is low relative to plan tier,2026-07-12T02:52:23.620108+00:00
fb-cedar-works-02,cedar-works,nps,5.0,,2026-07-14T02:52:23.620108+00:00
fb-golden-industries-01,golden-industries,verbatim,,Reported repeated issues with a core workflow,2026-07-13T02:52:23.620108+00:00
fb-river-analytics-01,river-analytics,csat,7.0,,2026-07-12T02:52:23.620108+00:00
fb-pine-works-01,pine-works,verbatim,,Reported repeated issues with a core workflow,2026-07-12T02:52:23.620108+00:00
fb-pine-robotics-01,pine-robotics,verbatim,,Utilization is low relative to plan tier,2026-07-13T02:52:23.620108+00:00
fb-pine-robotics-02,pine-robotics,nps,3.0,,2026-07-20T02:52:23.620108+00:00
fb-cedar-systems-01,cedar-systems,csat,9.0,,2026-07-15T02:52:23.620108+00:00
fb-oak-ops-01,oak-ops,csat,8.0,,2026-07-12T02:52:23.620108+00:00
fb-pine-studio-01,pine-studio,verbatim,,Reported repeated issues with a core workflow,2026-07-19T02:52:23.620108+00:00
fb-summit-group-01,summit-group,nps,7.0,,2026-07-11T02:52:23.620108+00:00
fb-iron-labs-01,iron-labs,csat,6.0,,2026-07-18T02:52:23.620108+00:00
fb-iron-partners-01,iron-partners,csat,7.0,,2026-07-15T02:52:23.620108+00:00
fb-summit-partners-01,summit-partners,nps,8.0,,2026-07-14T02:52:23.620108+00:00
fb-north-analytics-01,north-analytics,nps,6.0,,2026-07-11T02:52:23.620108+00:00
fb-summit-solutions-01,summit-solutions,csat,7.0,,2026-07-18T02:52:23.620108+00:00
fb-river-works-01,river-works,csat,7.0,,2026-07-20T02:52:23.620108+00:00
fb-golden-analytics-01,golden-analytics,csat,6.0,,2026-07-20T02:52:23.620108+00:00
fb-west-solutions-01,west-solutions,verbatim,,Reported repeated issues with a core workflow,2026-07-19T02:52:23.620108+00:00
fb-silver-cloud-01,silver-cloud,nps,8.0,,2026-07-20T02:52:23.620108+00:00
